iteration,policy_id,inspection_readiness_score,surface_coverage,anomaly_recall,keepout_violation_rate,collision_rate,total_reward
1,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-2.993699
2,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.033294
3,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-2.784925
4,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-37.123367
5,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.137628
6,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.176496
7,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.258536
8,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.318611
9,ppo_inspection_v1,0.68541,0.6,1.0,0.0,0.0,7.122798
10,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.679035
11,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.523128
12,ppo_inspection_v1,0.545444,0.4,1.0,0.0,0.0,4.626213
13,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.935721
14,ppo_inspection_v1,0.835336,1.0,1.0,0.0,0.0,11.068434
15,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.729011
16,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.601687
17,ppo_inspection_v1,0.236076,0.2,0.5,0.0,0.0,0.806611
18,ppo_inspection_v1,0.551023,0.4,1.0,0.0,0.0,4.739748
19,ppo_inspection_v1,0.233084,0.2,0.5,0.0,0.0,0.413094
20,ppo_inspection_v1,0.832763,1.0,1.0,0.0,0.0,11.525341
21,ppo_inspection_v1,0.830967,1.0,1.0,0.0,0.0,11.446131
22,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.940162
23,ppo_inspection_v1,0.543808,0.4,1.0,0.0,0.0,4.412106
24,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-4.225169
25,ppo_inspection_v1,0.832743,1.0,1.0,0.0,0.0,11.777099
26,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-4.062853
27,ppo_inspection_v1,0.67573,0.6,1.0,0.0,0.0,5.778307
28,ppo_inspection_v1,0.828445,1.0,1.0,0.0,0.0,11.34291
29,ppo_inspection_v1,0.828102,1.0,1.0,0.0,0.0,12.275735
30,ppo_inspection_v1,0.576724,0.4,1.0,0.0,0.0,4.295724
31,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-3.772207
32,ppo_inspection_v1,0.826298,1.0,1.0,0.0,0.0,12.179113
33,ppo_inspection_v1,0.0,0.0,0.0,0.0,0.0,-4.223122
34,ppo_inspection_v1,0.823593,1.0,1.0,0.0,0.0,11.457767
35,ppo_inspection_v1,0.826307,1.0,1.0,0.0,0.0,11.743089
36,ppo_inspection_v1,0.573348,0.4,1.0,0.0,0.0,4.31992
37,ppo_inspection_v1,0.702053,0.6,1.0,0.0,0.0,5.549536
38,ppo_inspection_v1,0.827529,1.0,1.0,0.0,0.0,11.757688
39,ppo_inspection_v1,0.822675,1.0,1.0,0.0,0.0,11.119912
40,ppo_inspection_v1,0.58435,0.4,1.0,0.0,0.0,4.06208
41,ppo_inspection_v1,0.581307,0.4,1.0,0.0,0.0,3.81279
42,ppo_inspection_v1,0.818471,1.0,1.0,0.0,0.0,11.428316
43,ppo_inspection_v1,0.818284,1.0,1.0,0.0,0.0,12.381365
44,ppo_inspection_v1,0.817931,1.0,1.0,0.0,0.0,12.351847
45,ppo_inspection_v1,0.837343,1.0,1.0,0.0,0.0,12.050034
46,ppo_inspection_v1,0.578175,0.4,1.0,0.0,0.0,3.608243
47,ppo_inspection_v1,0.702103,0.6,1.0,0.0,0.0,4.817322
48,ppo_inspection_v1,0.817528,1.0,1.0,0.0,0.0,12.539894
49,ppo_inspection_v1,0.854948,1.0,1.0,0.0,0.0,10.885335
50,ppo_inspection_v1,0.809459,1.0,1.0,0.0,0.0,11.837847
51,ppo_inspection_v1,0.224338,0.2,0.5,0.0,0.0,-1.117735
52,ppo_inspection_v1,0.827465,1.0,1.0,0.0,0.0,11.649676
53,ppo_inspection_v1,0.815643,1.0,1.0,0.0,0.0,12.405112
54,ppo_inspection_v1,0.699166,0.6,1.0,0.0,0.0,4.623733
55,ppo_inspection_v1,0.813589,1.0,1.0,0.0,0.0,12.216907
56,ppo_inspection_v1,0.813712,1.0,1.0,0.0,0.0,12.001116
57,ppo_inspection_v1,0.710945,0.6,1.0,0.0,0.0,4.41483
58,ppo_inspection_v1,0.728484,0.6,1.0,0.0,0.0,4.73957
59,ppo_inspection_v1,0.696054,0.6,1.0,0.0,0.0,4.331353
60,ppo_inspection_v1,0.814099,1.0,1.0,0.0,0.0,12.182708
61,ppo_inspection_v1,0.82379,1.0,1.0,0.0,0.0,11.978375
62,ppo_inspection_v1,0.844805,1.0,1.0,0.0,0.0,11.735653
63,ppo_inspection_v1,0.842128,1.0,1.0,0.0,0.0,10.776563
64,ppo_inspection_v1,0.811615,1.0,1.0,0.0,0.0,12.537804
65,ppo_inspection_v1,0.824475,1.0,1.0,0.0,0.0,10.764291
66,ppo_inspection_v1,0.808873,1.0,1.0,0.0,0.0,11.950298
67,ppo_inspection_v1,0.810343,1.0,1.0,0.0,0.0,11.852185
68,ppo_inspection_v1,0.808135,1.0,1.0,0.0,0.0,12.403766
69,ppo_inspection_v1,0.838989,1.0,1.0,0.0,0.0,11.489685
70,ppo_inspection_v1,0.826165,1.0,1.0,0.0,0.0,10.915698
71,ppo_inspection_v1,0.806582,1.0,1.0,0.0,0.0,11.839569
72,ppo_inspection_v1,0.807182,1.0,1.0,0.0,0.0,11.444025
73,ppo_inspection_v1,0.809937,1.0,1.0,0.0,0.0,11.678783
74,ppo_inspection_v1,0.810342,1.0,1.0,0.0,0.0,11.862781
75,ppo_inspection_v1,0.839424,1.0,1.0,0.0,0.0,11.263621
76,ppo_inspection_v1,0.799377,1.0,1.0,0.0,0.0,11.655033
77,ppo_inspection_v1,0.806946,1.0,1.0,0.0,0.0,11.764451
78,ppo_inspection_v1,0.80708,1.0,1.0,0.0,0.0,11.518275
79,ppo_inspection_v1,0.822494,1.0,1.0,0.0,0.0,11.521488
80,ppo_inspection_v1,0.809524,1.0,1.0,0.0,0.0,11.908303
